session_id,user_id,session_date,channel,device
140,29,2024-02-21,Facebook,mobile
141,30,2024-02-27,Facebook,mobile
142,30,2024-02-18,Facebook,desktop
143,31,2024-01-16,Google,mobile
144,31,2024-01-11,Facebook,mobile
145,31,2024-01-10,Google,mobile
146,31,2024-01-11,Google,desktop
147,31,2024-01-15,Facebook,mobile
148,32,2024-03-11,Google,desktop
149,32,2024-02-17,Facebook,desktop
150,32,2024-03-11,TikTok,desktop
151,33,2024-03-18,Facebook,desktop
152,33,2024-02-27,TikTok,desktop
153,33,2024-03-25,TikTok,desktop
154,33,2024-03-10,Google,desktop
155,33,2024-03-23,Facebook,desktop
156,33,2024-03-09,Facebook,mobile
157,33,2024-03-05,Google,mobile
158,33,2024-03-18,Google,mobile
159,34,2024-03-07,TikTok,mobile
160,34,2024-03-13,Facebook,mobile
161,34,2024-03-02,Facebook,mobile
162,34,2024-02-22,Google,desktop
163,34,2024-02-25,Google,mobile
164,34,2024-02-28,Google,desktop
165,34,2024-02-25,Facebook,mobile
166,34,2024-03-07,Google,desktop
167,34,2024-03-07,Google,mobile
168,34,2024-03-10,TikTok,mobile
169,35,2024-01-25,TikTok,mobile
170,35,2024-02-03,Facebook,desktop
171,35,2024-02-06,Google,desktop
172,36,2024-01-12,Facebook,mobile
173,36,2024-01-21,Google,desktop
174,37,2024-01-18,Google,mobile
175,37,2024-02-02,Google,mobile
176,37,2024-01-06,Facebook,desktop
177,37,2024-01-30,Facebook,mobile
178,37,2024-01-18,Google,mobile
179,38,2024-02-16,Facebook,desktop
180,38,2024-02-14,Facebook,desktop
181,38,2024-02-19,Google,desktop
182,38,2024-02-17,Google,mobile
183,38,2024-02-19,TikTok,mobile
184,38,2024-02-18,Google,mobile
185,38,2024-02-15,TikTok,desktop
186,39,2024-02-04,TikTok,mobile
187,39,2024-02-07,Facebook,mobile
188,39,2024-02-06,Google,desktop
189,39,2024-02-18,Facebook,desktop
190,39,2024-02-04,Facebook,mobile
191,39,2024-02-20,Google,mobile
192,40,2024-02-11,Facebook,mobile
193,40,2024-02-03,TikTok,mobile
194,40,2024-02-25,Facebook,desktop
195,40,2024-02-27,Facebook,desktop
196,40,2024-02-10,Google,desktop
197,40,2024-02-14,TikTok,mobile
198,41,2024-02-06,TikTok,desktop
199,41,2024-02-02,Facebook,mobile
200,42,2024-02-26,Facebook,desktop
201,42,2024-02-15,TikTok,desktop
202,42,2024-03-10,Google,desktop
203,42,2024-02-27,TikTok,desktop
204,43,2024-02-29,TikTok,desktop
205,43,2024-02-12,Google,desktop
206,43,2024-02-20,Google,mobile
207,43,2024-02-12,Google,desktop
208,43,2024-02-29,TikTok,mobile
209,43,2024-02-08,TikTok,desktop
210,43,2024-02-13,Google,mobile
211,43,2024-02-28,Facebook,desktop
212,43,2024-02-12,Facebook,desktop
213,44,2024-02-20,Facebook,desktop
214,44,2024-03-04,Google,desktop
215,44,2024-02-27,Facebook,desktop
216,44,2024-03-04,Facebook,desktop
217,44,2024-02-28,Facebook,mobile
218,44,2024-02-16,Facebook,mobile
219,44,2024-02-08,Google,desktop
220,45,2024-02-16,TikTok,mobile
221,45,2024-02-11,Google,mobile
222,45,2024-02-20,Google,desktop
223,45,2024-02-19,Facebook,desktop
224,45,2024-02-03,Google,mobile
225,45,2024-02-03,Facebook,mobile
226,45,2024-02-15,Google,mobile
227,45,2024-02-03,Google,mobile
228,45,2024-02-14,Google,mobile
229,45,2024-02-16,Google,desktop
230,45,2024-01-30,Facebook,mobile
231,46,2024-03-08,Google,desktop
232,46,2024-03-31,Google,desktop
233,46,2024-03-12,Google,mobile
234,46,2024-03-14,Google,mobile
235,46,2024-03-14,Google,mobile
236,46,2024-03-23,Facebook,desktop
237,46,2024-03-14,TikTok,mobile
238,46,2024-03-22,Facebook,desktop
239,47,2024-02-14,Google,mobile
240,47,2024-02-18,TikTok,mobile
241,47,2024-03-02,Google,mobile
242,48,2024-02-11,TikTok,desktop
243,48,2024-02-25,Facebook,mobile
244,49,2024-01-10,Google,desktop
245,49,2024-01-10,Facebook,mobile
246,49,2024-01-08,Google,mobile
247,50,2024-03-10,TikTok,mobile
248,50,2024-03-01,Facebook,mobile
249,50,2024-02-22,TikTok,desktop
250,50,2024-03-13,Google,mobile
251,51,2024-01-22,Google,mobile
252,51,2024-02-03,Facebook,mobile
253,51,2024-02-15,Facebook,desktop
254,51,2024-01-22,Google,mobile
255,51,2024-01-27,TikTok,mobile
256,52,2024-01-28,Facebook,mobile
257,52,2024-02-20,Google,mobile
258,52,2024-02-04,Google,desktop
259,52,2024-02-10,Facebook,desktop
260,52,2024-02-06,TikTok,mobile
261,53,2024-02-11,Facebook,desktop
262,53,2024-02-14,Google,mobile
263,53,2024-02-21,Google,mobile
264,53,2024-02-04,Facebook,mobile
265,54,2024-03-04,TikTok,desktop
266,54,2024-02-24,Google,mobile
267,54,2024-02-09,Google,mobile
268,55,2024-01-22,TikTok,mobile
269,55,2024-01-14,TikTok,mobile
270,55,2024-01-24,TikTok,mobile
271,55,2024-01-23,Facebook,desktop
272,55,2024-01-25,Google,mobile
273,55,2024-01-07,Facebook,desktop
274,55,2024-01-20,Google,desktop
275,55,2024-01-09,Google,mobile
276,56,2024-02-18,Facebook,mobile
277,56,2024-03-04,Facebook,mobile
278,57,2024-01-13,Google,mobile
279,58,2024-01-03,Facebook,desktop
280,58,2024-01-02,Facebook,desktop
281,58,2024-01-30,Google,mobile
282,58,2024-01-27,Google,desktop
283,59,2024-01-27,Google,desktop
284,59,2024-01-20,Facebook,desktop
285,59,2024-02-05,Facebook,mobile
286,59,2024-02-14,Facebook,desktop
287,59,2024-02-11,Google,mobile
288,60,2024-01-09,Google,mobile
289,60,2024-01-22,Facebook,mobile
290,60,2024-01-31,Google,mobile
291,60,2024-01-05,TikTok,desktop
292,61,2024-01-23,Facebook,mobile
293,61,2024-01-23,Facebook,mobile
294,61,2024-02-18,Facebook,mobile
295,62,2024-02-27,Google,desktop
296,62,2024-02-16,TikTok,desktop
297,62,2024-02-10,Google,mobile
298,62,2024-02-07,Facebook,desktop
299,63,2024-02-03,Google,desktop
300,63,2024-01-17,Google,desktop
301,63,2024-02-05,Facebook,mobile
302,63,2024-02-04,Google,mobile
303,63,2024-01-16,TikTok,desktop
304,63,2024-01-26,Google,mobile
305,63,2024-01-13,Google,desktop
306,63,2024-01-28,TikTok,desktop
307,64,2024-01-29,Google,desktop
308,64,2024-02-20,Google,mobile
309,65,2024-02-03,Facebook,mobile
310,65,2024-02-06,Facebook,mobile
311,66,2024-02-21,Facebook,desktop
312,66,2024-02-27,Google,mobile
313,67,2024-02-05,Facebook,desktop
314,67,2024-01-07,TikTok,mobile
315,67,2024-02-03,Google,desktop
316,67,2024-01-21,Facebook,desktop
317,67,2024-01-21,TikTok,desktop
318,67,2024-01-22,Facebook,mobile
319,67,2024-01-14,Facebook,desktop
320,68,2024-01-23,Facebook,desktop
321,68,2024-01-16,TikTok,mobile
322,68,2024-01-16,TikTok,desktop
323,68,2024-02-03,Google,desktop
324,68,2024-01-13,Google,desktop
325,68,2024-02-01,Google,mobile
326,69,2024-01-22,TikTok,mobile
327,69,2024-01-10,Google,desktop
328,69,2024-01-27,TikTok,desktop
329,69,2024-01-23,Facebook,mobile
330,69,2024-01-12,Google,desktop
331,69,2024-02-02,TikTok,mobile
332,69,2024-01-07,Google,desktop
333,70,2024-02-03,Google,mobile
334,70,2024-02-10,Facebook,mobile
335,70,2024-02-28,Google,mobile
336,70,2024-02-28,Facebook,desktop
337,70,2024-02-03,Google,desktop
338,70,2024-02-22,Google,mobile
339,71,2024-02-16,Google,desktop
340,71,2024-01-24,Google,mobile
341,71,2024-02-19,TikTok,mobile
342,71,2024-02-19,Facebook,mobile
343,71,2024-02-03,Facebook,mobile
344,71,2024-01-23,Google,desktop
345,71,2024-02-03,Google,desktop
346,72,2024-02-18,Facebook,mobile
347,72,2024-02-24,Google,mobile
348,72,2024-03-01,Facebook,desktop
349,72,2024-02-19,TikTok,mobile
350,72,2024-02-14,Facebook,desktop
351,72,2024-03-05,Google,mobile
352,73,2024-02-03,Facebook,desktop
353,73,2024-02-26,TikTok,mobile
354,73,2024-02-10,Facebook,mobile
355,73,2024-02-10,Facebook,desktop
356,74,2024-03-06,Google,mobile
357,74,2024-02-24,TikTok,mobile
358,75,2024-02-16,Facebook,desktop
359,75,2024-02-21,Facebook,mobile
360,75,2024-02-12,Facebook,mobile
361,76,2024-02-10,Google,mobile
362,76,2024-02-12,Google,desktop
363,76,2024-03-01,Google,desktop
364,76,2024-02-13,TikTok,desktop
365,77,2024-02-06,Facebook,desktop
366,77,2024-02-16,Google,mobile
367,77,2024-02-28,Google,mobile
368,77,2024-02-03,Google,mobile
369,77,2024-02-03,TikTok,mobile
370,77,2024-02-19,Facebook,mobile
371,77,2024-02-04,Google,desktop
372,78,2024-01-20,TikTok,mobile
373,78,2024-02-13,Facebook,desktop
374,78,2024-02-04,Facebook,mobile
375,78,2024-01-18,TikTok,mobile
376,79,2024-02-25,Google,desktop
377,79,2024-03-10,Google,desktop
378,79,2024-03-01,TikTok,mobile
379,80,2024-02-17,TikTok,mobile
380,80,2024-02-29,TikTok,desktop
381,81,2024-03-01,Google,mobile
382,81,2024-02-20,Google,desktop
383,81,2024-02-09,Facebook,desktop
384,81,2024-02-23,TikTok,mobile
385,81,2024-02-17,Google,mobile
386,81,2024-02-23,Facebook,mobile
387,82,2024-02-05,Google,mobile
388,82,2024-01-15,TikTok,mobile
389,82,2024-01-25,Facebook,mobile
390,83,2024-02-09,Facebook,mobile
391,83,2024-02-19,TikTok,mobile
392,83,2024-02-12,Google,desktop
393,83,2024-02-08,Google,desktop
394,83,2024-02-06,Google,desktop
395,84,2024-03-09,Google,desktop
396,84,2024-03-13,Facebook,desktop
397,84,2024-03-23,Facebook,mobile
398,84,2024-03-12,Google,desktop
399,84,2024-03-17,Facebook,desktop
400,84,2024-03-12,TikTok,desktop
401,84,2024-03-05,Facebook,desktop
402,84,2024-03-19,Google,desktop
403,84,2024-03-16,TikTok,mobile
404,85,2024-02-18,Facebook,mobile
405,85,2024-03-04,TikTok,mobile
406,85,2024-02-21,Google,mobile
407,85,2024-02-24,Google,desktop
408,85,2024-03-15,Google,mobile
409,85,2024-03-02,Google,mobile
410,86,2024-03-17,Facebook,desktop
411,86,2024-03-01,Google,mobile
412,86,2024-03-27,TikTok,desktop
413,86,2024-03-22,Facebook,mobile
414,86,2024-03-05,TikTok,mobile
415,86,2024-03-18,Google,desktop
416,87,2024-03-17,Google,desktop
417,87,2024-03-10,Google,mobile
418,87,2024-03-26,Google,mobile
419,87,2024-03-25,Facebook,desktop
420,87,2024-03-18,TikTok,mobile
421,87,2024-03-31,Google,desktop
422,87,2024-03-10,Google,mobile
423,87,2024-03-12,Google,desktop
424,87,2024-03-12,TikTok,desktop
425,88,2024-03-03,Google,desktop
426,88,2024-03-01,Facebook,mobile
427,88,2024-02-27,TikTok,desktop
428,88,2024-02-07,Facebook,mobile
429,89,2024-01-31,Facebook,mobile
430,89,2024-02-10,Google,desktop
431,89,2024-02-16,TikTok,desktop
432,89,2024-02-28,Google,mobile
433,89,2024-02-15,Google,desktop
434,89,2024-02-18,Facebook,desktop
435,89,2024-02-19,Google,desktop
436,89,2024-02-02,Facebook,desktop
437,89,2024-02-07,Google,desktop
438,90,2024-03-14,Google,mobile
439,90,2024-03-23,Google,mobile
440,91,2024-02-05,Google,mobile
441,91,2024-02-26,Google,mobile
442,91,2024-02-27,Google,mobile
443,91,2024-02-12,Google,desktop
444,91,2024-02-27,Facebook,mobile
445,91,2024-02-25,Google,mobile
446,91,2024-02-19,Google,mobile
447,91,2024-02-04,Facebook,desktop
448,91,2024-02-08,Google,mobile
449,91,2024-02-20,Facebook,desktop
450,92,2024-02-19,Google,mobile
451,92,2024-03-12,Google,mobile
452,92,2024-03-08,Facebook,mobile
453,92,2024-02-24,Facebook,mobile
454,92,2024-02-19,Google,mobile
455,92,2024-02-23,Facebook,mobile
456,93,2024-01-29,Facebook,desktop
457,93,2024-01-24,TikTok,desktop
458,93,2024-01-21,Facebook,mobile
459,93,2024-02-04,Facebook,desktop
460,93,2024-01-30,Facebook,mobile
461,93,2024-02-03,Facebook,mobile
462,93,2024-01-21,Facebook,desktop
463,93,2024-01-21,TikTok,mobile
464,93,2024-02-07,Facebook,mobile
465,94,2024-03-01,Google,mobile
466,94,2024-02-12,Facebook,desktop
467,94,2024-02-18,Google,desktop
468,94,2024-03-06,Facebook,mobile
469,95,2024-02-06,Google,desktop
470,96,2024-02-29,TikTok,desktop
471,96,2024-03-10,Google,desktop
472,96,2024-03-14,Facebook,desktop
473,96,2024-03-24,Google,desktop
474,96,2024-02-28,Google,desktop
475,96,2024-02-28,TikTok,desktop
476,97,2024-01-17,TikTok,desktop
477,97,2024-02-03,Facebook,desktop
478,97,2024-01-18,Facebook,mobile
479,97,2024-01-26,Facebook,mobile
480,97,2024-01-25,TikTok,desktop
481,97,2024-01-15,Google,mobile
482,97,2024-01-20,TikTok,mobile
483,97,2024-01-14,Facebook,mobile
484,98,2024-03-08,Facebook,mobile
485,98,2024-03-11,Facebook,mobile
486,98,2024-02-28,Google,desktop
487,98,2024-03-06,Google,desktop
488,98,2024-03-02,Google,mobile
489,98,2024-03-08,Google,desktop
490,99,2024-02-13,Google,mobile
491,99,2024-02-16,Facebook,desktop
492,100,2024-03-18,Facebook,mobile
493,100,2024-03-20,Facebook,mobile
494,100,2024-02-24,Google,desktop
495,101,2024-01-23,Google,mobile
496,101,2024-01-23,Google,desktop
497,101,2024-01-27,Google,mobile
498,101,2024-01-27,Facebook,desktop
499,101,2024-01-13,Google,mobile
500,102,2024-02-28,Google,desktop
501,102,2024-03-24,Facebook,desktop
502,102,2024-02-28,Facebook,mobile
503,103,2024-03-08,Google,mobile
504,103,2024-03-22,Google,mobile
505,103,2024-02-29,TikTok,mobile
506,104,2024-03-03,Google,desktop
507,104,2024-02-17,TikTok,mobile
508,104,2024-03-05,TikTok,mobile
509,104,2024-02-11,Google,mobile
510,104,2024-02-24,Facebook,mobile
511,105,2024-02-22,Google,mobile
512,105,2024-03-03,Google,desktop
513,105,2024-02-12,Google,mobile
514,105,2024-02-21,Facebook,desktop
515,105,2024-03-06,Google,mobile
516,105,2024-02-26,Google,mobile
517,106,2024-01-17,Facebook,desktop
518,106,2024-01-17,Google,mobile
519,106,2024-02-08,Facebook,mobile
520,106,2024-02-07,Google,mobile
521,106,2024-01-29,Google,mobile
522,107,2024-01-30,Facebook,mobile
523,107,2024-01-30,Facebook,mobile
524,107,2024-02-01,TikTok,desktop
525,108,2024-02-03,Facebook,mobile
526,108,2024-02-10,Facebook,desktop
527,108,2024-02-04,Facebook,mobile
528,108,2024-02-08,Facebook,desktop
529,108,2024-02-01,TikTok,desktop
530,109,2024-02-13,TikTok,desktop
531,109,2024-02-13,Facebook,desktop
532,109,2024-02-10,Facebook,desktop
533,110,2024-02-12,Facebook,desktop
534,110,2024-02-20,Facebook,desktop
535,110,2024-02-08,Facebook,mobile
536,111,2024-03-17,Google,mobile
537,111,2024-03-26,Facebook,mobile
538,111,2024-03-04,Google,desktop
539,111,2024-03-09,Google,desktop
540,111,2024-03-05,Google,mobile
541,111,2024-03-13,Google,desktop
542,112,2024-02-26,Facebook,desktop
543,112,2024-03-07,Facebook,mobile
544,112,2024-02-23,Google,mobile
545,112,2024-03-06,Google,desktop
546,112,2024-03-01,Facebook,desktop
547,113,2024-03-12,Google,mobile
548,113,2024-03-03,Google,desktop
549,113,2024-02-13,Google,desktop
550,113,2024-02-20,Google,mobile
551,113,2024-03-12,Google,desktop
552,113,2024-02-29,Facebook,mobile
553,114,2024-01-25,Facebook,desktop
554,114,2024-01-24,Facebook,desktop
555,115,2024-02-18,Google,mobile
556,115,2024-03-08,Google,desktop
557,115,2024-02-11,Facebook,desktop
558,115,2024-03-02,Facebook,mobile
559,116,2024-03-26,Google,mobile
560,116,2024-03-06,Facebook,desktop
561,116,2024-03-22,Google,mobile
562,116,2024-03-14,Google,mobile
563,116,2024-03-07,Google,mobile
564,116,2024-03-26,Google,mobile
565,116,2024-03-09,Google,desktop
566,117,2024-01-15,TikTok,desktop
567,117,2024-01-26,Facebook,desktop
568,117,2024-01-26,Google,desktop
569,117,2024-01-10,Google,desktop
570,117,2024-01-16,Google,mobile
571,117,2024-01-26,Facebook,desktop
572,118,2024-01-18,TikTok,desktop
573,118,2024-01-08,Google,mobile
574,118,2024-01-23,Facebook,desktop
575,118,2024-01-05,TikTok,desktop
576,118,2024-01-03,Facebook,mobile
577,119,2024-02-15,TikTok,desktop
578,119,2024-02-06,TikTok,mobile
579,119,2024-02-23,Facebook,desktop
580,119,2024-02-13,Google,desktop
581,120,2024-03-04,Google,mobile
582,120,2024-03-26,Facebook,mobile
583,120,2024-02-26,Facebook,mobile
584,121,2024-03-21,TikTok,desktop
585,121,2024-03-03,Google,mobile
586,121,2024-03-14,Google,mobile
587,122,2024-02-03,Google,mobile
588,122,2024-02-04,Facebook,mobile
589,122,2024-01-14,Facebook,desktop
590,122,2024-01-31,Google,mobile
591,122,2024-01-23,Facebook,mobile
592,122,2024-01-25,Google,mobile
593,122,2024-01-24,Google,mobile
594,123,2024-02-26,Google,mobile
595,123,2024-02-16,Facebook,mobile
596,123,2024-02-08,Google,desktop
597,123,2024-02-02,Google,mobile
598,123,2024-02-25,Facebook,desktop
599,123,2024-02-01,Facebook,mobile
600,123,2024-02-27,TikTok,mobile
601,124,2024-01-31,Google,desktop
602,124,2024-02-09,TikTok,mobile
603,124,2024-01-26,Google,mobile
604,124,2024-02-15,Facebook,mobile
605,124,2024-01-23,Facebook,mobile
606,124,2024-01-22,Facebook,mobile
607,125,2024-02-07,Facebook,mobile
608,125,2024-01-17,Google,desktop
609,125,2024-02-10,TikTok,desktop
610,125,2024-01-20,Google,mobile
611,125,2024-01-23,Google,desktop
612,125,2024-01-26,Google,mobile
613,126,2024-01-12,TikTok,desktop
614,126,2024-01-08,Facebook,mobile
615,126,2024-01-05,TikTok,desktop
616,126,2024-01-04,Facebook,mobile
617,126,2024-01-24,Facebook,mobile
618,126,2024-01-19,Google,mobile
619,126,2024-01-12,TikTok,desktop
620,127,2024-02-11,Google,desktop
621,127,2024-02-16,Facebook,desktop
622,127,2024-02-28,Facebook,mobile
623,127,2024-02-14,Google,desktop
624,127,2024-02-27,Google,desktop
625,127,2024-03-02,Facebook,desktop
626,127,2024-02-11,Facebook,mobile
627,127,2024-02-21,Google,mobile
628,128,2024-02-16,Facebook,desktop
629,128,2024-01-26,TikTok,desktop
630,128,2024-02-12,Facebook,mobile
631,128,2024-02-05,Google,desktop
632,128,2024-02-10,Google,desktop
633,128,2024-02-22,TikTok,desktop
634,129,2024-02-04,Facebook,desktop
635,129,2024-02-06,TikTok,mobile
636,129,2024-03-03,Google,desktop
637,130,2024-02-01,Facebook,mobile
638,130,2024-01-21,Facebook,mobile
639,130,2024-01-25,Google,mobile
640,130,2024-01-21,Facebook,mobile
641,130,2024-01-30,Facebook,desktop
642,130,2024-01-18,Google,mobile
643,130,2024-02-03,Google,mobile
644,131,2024-03-05,Facebook,mobile
645,131,2024-02-24,Facebook,mobile
646,131,2024-02-29,Google,desktop
647,131,2024-02-25,TikTok,mobile
648,131,2024-03-10,TikTok,desktop
649,132,2024-02-24,Google,desktop
650,132,2024-03-12,Facebook,mobile
651,132,2024-03-10,Facebook,mobile
652,132,2024-03-02,Google,desktop
653,132,2024-02-29,Facebook,mobile
654,133,2024-02-20,Facebook,desktop
655,133,2024-02-27,Google,mobile
656,133,2024-02-23,Facebook,desktop
657,133,2024-02-01,Google,desktop
658,133,2024-02-05,Google,mobile
659,133,2024-02-20,Google,mobile
660,133,2024-02-15,Facebook,mobile
661,134,2024-03-04,Google,mobile
662,134,2024-02-15,Facebook,mobile
663,134,2024-02-09,TikTok,mobile
664,134,2024-02-22,Facebook,mobile
665,135,2024-02-29,Facebook,desktop
666,135,2024-03-20,TikTok,desktop
667,135,2024-02-25,Google,desktop
668,135,2024-03-14,Facebook,desktop
669,135,2024-03-08,Google,mobile
670,135,2024-03-06,Facebook,desktop
671,135,2024-02-27,Facebook,mobile
672,135,2024-03-20,TikTok,desktop
673,135,2024-03-08,Google,mobile
674,136,2024-03-06,Google,desktop
675,136,2024-03-11,Google,mobile
676,136,2024-03-07,Google,desktop
677,136,2024-03-10,Facebook,mobile
678,137,2024-02-05,Facebook,mobile
679,137,2024-02-28,Facebook,desktop
680,137,2024-02-29,Facebook,desktop
681,137,2024-02-13,Google,desktop
682,137,2024-02-11,Facebook,desktop
683,138,2024-01-26,TikTok,mobile
684,138,2024-01-19,Facebook,mobile
685,139,2024-02-27,TikTok,desktop
686,139,2024-02-20,Facebook,desktop
687,139,2024-02-20,Google,mobile
688,139,2024-03-02,Google,mobile
689,139,2024-02-23,TikTok,mobile
690,139,2024-02-09,TikTok,desktop
691,140,2024-03-09,Facebook,desktop
692,140,2024-03-08,Google,desktop
693,140,2024-02-15,Google,desktop
694,141,2024-02-23,Facebook,desktop
695,141,2024-03-04,TikTok,desktop
696,141,2024-03-01,Google,desktop
697,141,2024-03-10,Google,desktop
698,141,2024-03-14,Facebook,desktop
699,141,2024-02-22,TikTok,desktop
700,142,2024-02-01,Google,desktop
701,142,2024-01-13,Google,mobile
702,143,2024-01-28,Facebook,mobile
703,143,2024-02-01,Google,desktop
704,143,2024-01-08,Facebook,mobile
705,144,2024-02-11,TikTok,mobile
706,144,2024-01-18,Facebook,mobile
707,144,2024-01-17,Facebook,desktop
708,144,2024-01-22,Google,desktop
709,144,2024-02-04,Google,mobile
710,145,2024-02-22,Google,desktop
711,145,2024-02-10,Facebook,mobile
712,145,2024-02-18,Google,desktop
713,146,2024-02-01,Google,mobile
714,146,2024-01-29,TikTok,desktop
715,146,2024-02-16,TikTok,mobile
716,146,2024-02-01,TikTok,mobile
717,147,2024-01-09,Facebook,mobile
718,147,2024-02-04,Facebook,mobile
719,147,2024-01-11,Facebook,mobile
720,147,2024-01-06,Facebook,desktop
721,147,2024-01-24,Google,desktop
722,148,2024-02-18,TikTok,mobile
723,148,2024-02-08,Google,desktop
724,148,2024-02-10,TikTok,mobile
725,148,2024-02-02,Facebook,mobile
726,148,2024-02-23,TikTok,desktop
727,148,2024-02-15,Facebook,desktop
728,149,2024-02-03,Google,desktop
729,149,2024-01-27,Facebook,desktop
